"","标注","旋回顶深","旋回底深","符号","旋回厚度","偏移","累积偏移","旋回数","层位"
"65","L144_740",1460.9,1474.8,"正旋回",13.8999999999999,-0.371000000000137,-41.654,74,"D"
"66","反旋回",1474.8,1494,"反旋回",19.2,4.92900000000004,-41.2829999999998,73,"D"
"67","L144_741",1494,1518.9,"反旋回",24.9000000000001,10.6290000000001,-46.2119999999999,72,"D"
"68","L144_742",1518.9,1541.4,"正旋回",22.5,8.229,-56.841,71,"D"
"69","L144_743",1541.4,1556.4,"正旋回",15,0.728999999999999,-65.07,70,"D"
"70","L144_744",1556.4,1567.6,"反旋回",11.1999999999998,-3.07100000000018,-65.799,69,"C"
"71","L144_745",1567.6,1581.8,"正旋回",14.2,-0.0709999999999553,-62.7279999999998,68,"C"
"72","正旋回",1581.8,1591.8,"正旋回",10,-4.271,-62.6569999999998,67,"C"
"73","反旋回",1591.8,1612.5,"反旋回",20.7,6.42900000000004,-58.3859999999998,66,"C"
"74","正旋回",1612.5,1633.7,"正旋回",21.2,6.92900000000004,-64.8149999999999,65,"C"
"75","L144_748",1633.7,1653.7,"正旋回",20,5.729,-71.7439999999999,64,"C"
"76","正旋回",1653.7,1665.4,"正旋回",11.7,-2.57099999999996,-77.4729999999999,63,"C"
"77","L144_749",1665.4,1674.9,"反旋回",9.5,-4.771,-74.902,62,"C"
"78","L144_750",1674.9,1681.7,"正旋回",6.79999999999995,-7.47100000000005,-70.131,61,"C"
"79","L144_751",1681.7,1689.4,"反旋回",7.70000000000005,-6.57099999999996,-62.6599999999999,60,"C"
"80","反旋回",1689.4,1701.6,"反旋回",12.1999999999998,-2.07100000000018,-56.089,59,"C"
"81","正旋回",1701.6,1711.4,"正旋回",9.80000000000018,-4.47099999999982,-54.0179999999998,58,"C"
"82","反旋回",1711.4,1716.6,"反旋回",5.19999999999982,-9.07100000000018,-49.547,57,"C"
"83","正旋回",1716.6,1726.7,"正旋回",10.1000000000001,-4.17099999999986,-40.4759999999998,56,"C"
"84","L144_754",1726.7,1733.1,"反旋回",6.39999999999986,-7.87100000000014,-36.3049999999999,55,"C"
"85","L144_755",1733.1,1741,"正旋回",7.90000000000009,-6.37099999999991,-28.4339999999998,54,"C"
"86","L144_756",1741,1748.9,"反旋回",7.90000000000009,-6.37099999999991,-22.0629999999999,53,"C"
"87","正旋回",1748.9,1761.3,"正旋回",12.3999999999999,-1.87100000000014,-15.692,52,"C"
"88","L144_757",1761.3,1774.4,"正旋回",13.1000000000001,-1.17099999999986,-13.8209999999998,51,"C"
"89","L144_758",1774.4,1798.4,"反旋回",24,9.729,-12.6499999999999,50,"C"
"90","L144_759",1798.4,1808.6,"正旋回",10.1999999999998,-4.07100000000018,-22.3789999999999,49,"C"
"91","L144_760",1808.6,1819.7,"反旋回",11.1000000000001,-3.17099999999986,-18.3079999999998,48,"C"
"92","L144_761",1819.7,1828.5,"正旋回",8.79999999999995,-5.47100000000005,-15.1369999999999,47,"C"
"93","L144_763",1828.5,1844.3,"正旋回",15.8,1.52899999999995,-9.66599999999985,46,"C"
"94","L144_764",1844.3,1858.4,"反旋回",14.1000000000001,-0.170999999999864,-11.1949999999998,45,"C"
"95","L144_765",1858.4,1878.6,"反旋回",20.1999999999998,5.92899999999982,-11.0239999999999,44,"C"
"96","正旋回",1878.6,1892.9,"正旋回",14.3000000000002,0.0290000000001811,-16.9529999999998,43,"C"
"97","正旋回",1892.9,1910.1,"正旋回",17.1999999999998,2.92899999999982,-16.9819999999999,42,"C"
"98","反旋回",1910.1,1932.6,"反旋回",22.5,8.229,-19.9109999999998,41,"B"
"99","正旋回",1932.6,1941.2,"正旋回",8.60000000000014,-5.67099999999986,-28.1399999999998,40,"B"
"100","L144_767",1941.2,1950.6,"反旋回",9.39999999999986,-4.87100000000014,-22.4689999999999,39,"B"
"101","L144_768",1950.6,1964.8,"正旋回",14.2,-0.0709999999999553,-17.5979999999998,38,"B"
"102","L144_769",1964.8,1977.6,"反旋回",12.8,-1.47100000000005,-17.5269999999998,37,"B"
"103","L144_770",1977.6,1996.1,"正旋回",18.5,4.229,-16.0559999999998,36,"B"
"104","L144_771",1996.1,2008.4,"反旋回",12.3000000000002,-1.97099999999982,-20.2849999999998,35,"B"
"105","正旋回",2008.4,2022.7,"正旋回",14.3,0.0289999999999537,-18.3139999999999,34,"B"
"106","L144_772",2022.7,2036,"正旋回",13.3,-0.971000000000046,-18.3429999999999,33,"B"
"107","L144_773",2036,2050.4,"反旋回",14.4000000000001,0.12900000000009,-17.3719999999998,32,"B"
"108","L144_774",2050.4,2065.1,"反旋回",14.6999999999998,0.428999999999817,-17.5009999999999,31,"B"
"109","L144_775",2065.1,2078.4,"正旋回",13.3000000000002,-0.970999999999819,-17.9299999999998,30,"B"
"110","L144_776",2078.4,2091.5,"反旋回",13.0999999999999,-1.17100000000009,-16.9589999999999,29,"B"
"111","L144_777",2091.5,2103.2,"正旋回",11.6999999999998,-2.57100000000018,-15.7879999999998,28,"B"
"112","L144_778",2103.2,2126.4,"反旋回",23.2000000000003,8.92900000000027,-13.2169999999997,27,"B"
"113","L144_780",2126.4,2142,"反旋回",15.5999999999999,1.32899999999991,-22.1459999999999,26,"B"
"114","正旋回",2142,2159.1,"正旋回",17.0999999999999,2.82899999999991,-23.4749999999998,25,"B"
"115","L144_781",2159.1,2168,"正旋回",8.90000000000009,-5.37099999999991,-26.3039999999997,24,"B"
"116","L144_782",2168,2180.5,"反旋回",12.5,-1.771,-20.9329999999998,23,"B"
"117","L144_783",2180.5,2199.1,"正旋回",18.5999999999999,4.32899999999991,-19.1619999999998,22,"B"
"118","L144_784",2199.1,2210.8,"正旋回",11.7000000000003,-2.57099999999973,-23.4909999999997,21,"B"
"119","正旋回",2210.8,2220,"正旋回",9.19999999999982,-5.07100000000018,-20.92,20,"B"
"120","正旋回",2220,2226.4,"正旋回",6.40000000000009,-7.87099999999991,-15.8489999999998,19,"B"
"121","L144_785",2226.4,2237.7,"正旋回",11.2999999999997,-2.97100000000027,-7.97799999999992,18,"B"
"122","正旋回",2237.7,2250.6,"正旋回",12.9000000000001,-1.37099999999991,-5.00699999999965,17,"B"
"123","正旋回",2250.6,2263.9,"正旋回",13.3000000000002,-0.970999999999819,-3.63599999999974,16,"A"
"124","正旋回",2263.9,2279.6,"正旋回",15.6999999999998,1.42899999999982,-2.66499999999992,15,"A"
"125","L144_788",2279.6,2295.4,"反旋回",15.8000000000002,1.52900000000018,-4.09399999999974,14,"A"
"126","反旋回",2295.4,2304.7,"反旋回",9.29999999999973,-4.97100000000027,-5.62299999999992,13,"A"
"127","正旋回",2304.7,2318.8,"正旋回",14.1000000000004,-0.170999999999637,-0.651999999999646,12,"A"
"128","L144_792",2318.8,2333.5,"正旋回",14.6999999999998,0.428999999999817,-0.481000000000009,11,"A"
